0	JJJJJ	undefined	69905	417
1	JJJ8J	undefined	70017	143
2	J33J3	undefined	78611	312
3	J444J	undefined	83009	26
4	J555J	undefined	87377	1
5	JKJKJ	undefined	119249	108
6	2846A	10	164974	208
7	3TA64	10	241252	539
8	47256	10	291414	537
9	4T35Q	10	303964	815
10	4AK82	10	322946	311
11	6TAQ4	10	437956	573
12	782A3	10	492259	148
13	926AK	10	599789	366
14	Q5KA6	10	810470	997
15	QT278	10	828024	663
16	KA287	10	909959	90
17	KA85Q	10	911452	582
18	AQ8KT	10	968922	929
19	J692A	20	92462	687
20	J9J99	undefined	102809	746
21	JTJTT	undefined	106922	875
22	JT349	20	107337	154
23	JAK67	20	126311	432
24	JAAAJ	undefined	126689	382
25	2J22J	undefined	135713	843
26	24A9T	10	151194	919
27	2637T	10	156538	643
28	264TK	10	156845	935
29	28794	10	165780	795
30	2T63K	10	173629	48
31	2TQ38	10	175160	63
32	2TA35	10	175669	380
33	2K8T7	10	186535	353
34	2A7T3	10	190371	457
35	329A5	10	207333	538
36	3597Q	10	219516	249
37	385AT	10	230890	583
38	38T26	10	231974	814
39	39T27	10	236071	615
40	3T6A7	10	239335	40
41	3K2T8	10	250536	141
42	3K628	10	251432	194
43	3K7AT	10	251882	405
44	3KQ27	10	252967	644
45	4259T	10	271770	64
46	42796	10	272278	690
47	4283Q	10	272444	346
48	43Q79	10	277625	17
49	45Q27	10	285735	985
50	468Q5	10	288965	22
51	4862K	10	296493	476
52	49Q7K	10	302205	555
53	49A76	10	302710	463
54	4K7TA	10	317358	810
55	4A52T	10	320810	18
56	53496	10	341142	638
57	539QK	10	342477	495
58	56QA2	10	355554	187
59	57T64	10	359012	530
60	58TQ9	10	363209	871
61	58K96	10	363926	122
62	5Q678	10	378488	175
63	5Q863	10	378979	752
64	5QT76	10	379510	914
65	63TK5	10	408277	672
66	64Q79	10	412793	944
67	64QK2	10	412882	193
68	683T4	10	426916	413
69	69T58	10	432728	219
70	6T89A	10	436382	726
71	6Q74K	10	444237	508
72	6KT72	10	449138	614
73	7J77J	undefined	464753	206
74	723AK	10	467949	496
75	75284	10	479876	28
76	762A8	10	484072	411
77	79AQK	10	499405	566
78	7T935	10	502069	328
79	84965	10	543077	856
80	84Q5T	10	543834	925
81	84A95	10	544405	637
82	85237	10	545335	136
83	8527K	10	545405	460
84	85376	10	545654	876
85	873KA	10	553950	837
86	89263	10	561763	467
87	896Q2	10	562882	202
88	8K36Q	10	578412	738
89	9284K	10	600141	701
90	92AT7	10	601767	236
91	936A5	10	603877	156
92	94352	10	607058	376
93	967KA	10	616414	748
94	974Q5	10	619717	277
95	978K6	10	620758	231
96	985Q7	10	624071	811
97	9A236	10	647734	127
98	T469K	10	673437	490
99	T5783	10	677763	658
100	T5826	10	677926	622
101	T5892	10	678034	360
102	T58K7	10	678103	151
103	T5A64	10	679524	574
104	T6947	10	682311	794
105	T75Q2	10	685506	992
106	T843K	10	689213	218
107	TK976	10	711030	437
108	Q29A7	10	797159	465
109	Q6A79	10	814713	697
110	Q83AK	10	820205	77
111	Q8469	10	820329	286
112	Q9AT8	10	827048	228
113	QA567	10	845159	394
114	K2T39	10	862777	149
115	K2Q6T	10	863338	770
116	K3742	10	866114	282
117	K5832	10	874546	730
118	K5T8Q	10	875148	910
119	K5QT4	10	875684	98
120	K6857	10	878679	758
121	K738Q	10	881548	719
122	K896T	10	887146	602
123	K95A4	10	890340	113
124	K9A82	10	892546	946
125	KT652	10	894546	29
126	KQ397	10	902039	387
127	A786Q	10	948332	953
128	A847Q	10	951420	588
129	A9T87	10	957063	624
130	J2A57	20	77399	841
131	J54AK	20	87277	140
132	J5Q73	20	89203	838
133	J796Q	20	96620	289
134	J93Q8	20	103368	994
135	J9T82	20	105090	66
136	JT465	20	107621	301
137	JQ485	20	115845	35
138	JQT7A	20	117374	443
139	JK64Q	20	120396	755
140	228A6	20	141542	860
141	23JTA	20	143790	500
142	23449	20	144457	964
143	24258	20	148056	591
144	24667	20	149095	757
145	25723	20	153379	817
146	25875	20	153717	7
147	25T85	20	154245	529
148	25A99	20	155289	265
149	266T3	20	157347	164
150	27J84	20	160132	121
151	27336	20	160566	800
152	2737T	20	160634	544
153	28K4J	20	167233	368
154	29446	20	169030	464
155	297TJ	20	169889	299
156	2TKQK	20	175565	65
157	2K88A	20	186510	33
158	2A28T	20	189066	859
159	2A3J5	20	189205	601
160	2A799	20	190361	54
161	3J78K	20	202637	38
162	34552	20	214354	414
163	34QT4	20	216228	214
164	35285	20	217733	135
165	35T25	20	219685	504
166	36Q22	20	224290	940
167	375J8	20	226584	764
168	37563	20	226659	185
169	39J7A	20	233854	489
170	3T6T5	20	239269	691
171	3TK7J	20	241009	980
172	3Q778	20	247672	715
173	3KQK6	20	253142	482
174	3KQK7	20	253143	891
175	3A7JK	20	255773	801
176	4J862	20	268386	449
177	42JQT	20	270794	297
178	42898	20	272536	115
179	43766	20	276326	949
180	457AJ	20	284641	808
181	465J7	20	288023	251
182	46548	20	288072	749
183	46833	20	288819	13
184	48K68	20	298344	364
185	49A4K	20	302669	173
186	4A4K3	20	320723	571
187	5J92T	20	334122	854
188	5JA97	20	335511	797
189	52423	20	336931	383
190	53J72	20	340338	72
191	532Q3	20	340675	354
192	53936	20	342326	852
